id,cons_12m,cons_gas_12m,cons_last_month,cons_last_month,forecast_cons_12m,forecast_cons_year,forecast_discount_energy,forecast_meter_rent_12m,forecast_price_energy_p1,forecast_price_energy_p2,forecast_price_pow_p1,has_gas,imp_cons,margin_gross_pow_ele,margin_net_pow_ele,nb_prod_act,net_margin,num_years_antig,pow_max,channel0,channel1,channel2,channel3,channel4,channel5,channel6,date_activ,date_end,date_modif_prod,date_renewal,origin0,origin1,origin2,origin3,origin4,origin5,price_p1_var,price_p2_var,price_p3_var,price_p1_fix,price_p2_fix,price_p3_fix,churn
48ada52261e7cf58715202705a0451c9,309275,0,10025,10025,26520.3,10025,0,359.29,0.095919,0.088347,58.99595196,0,831.8,-41.76,-41.76,1,1732.36,3,180,1,0,0,0,0,0,0,4488,5948,4488,5585,0,0,1,0,0,0,0.103448667,0.092114917,0.067241167,58.95650151,36.3568872,8.33705084,0
d29c2c54acc38ff3c0614d0a653813dd,4660,0,0,0,189.95,0,0,16.27,0.145711,0,44.31137796,0,0,16.38,16.38,1,18.89,6,13.8,0,1,0,0,0,0,0,3314,5880,3314,5515,0,1,0,0,0,0,0.149934,0,0,44.31541574,0,0,0
764c75f661154dac3a6c254cd082ea7d,544,0,0,0,47.96,0,0,38.72,0.165794,0.087899,44.31137796,0,0,28.6,28.6,1,6.6,6,13.856,0,0,1,0,0,0,0,3552,5744,3552,5379,0,1,0,0,0,0,0.170511667,0.08842125,0,44.38545036,0,0,0
bba03439a292a1e166f80264c16191cb,1584,0,0,0,240.04,0,0,19.83,0.146694,0,44.31137796,0,0,30.22,30.22,1,25.46,6,13.2,1,0,0,0,0,0,0,3535,5727,3535,5362,0,1,0,0,0,0,0.151210083,0,0,44.40026526,0,0,0
568bb38a1afd7c0fc49c77b3789b59a3,121335,0,12400,12400,10865.02,12400,0,170.74,0.110083,0.093746,40.606701,0,1052.37,-3.18,-3.18,1,823.18,6,75,0,0,1,0,0,0,0,3544,5736,3544,5374,0,0,0,0,0,1,0.118447583,0.098133917,0.069168167,40.6745798,24.40474692,16.26983288,0
149d57cf92fc41cf94415803a877cb4b,4425,0,526,526,445.75,526,0,131.73,0.1169,0.100015,40.606701,0,52.32,44.91,44.91,1,47.98,6,19.8,0,1,0,0,0,0,0,3459,5704,3459,5340,0,1,0,0,0,0,0.124174333,0.103638167,0.07286525,40.6881561,24.4128927,16.2752634,0
1aa498825382410b098937d65c4ec26d,8302,0,1998,1998,796.94,1998,0,30.12,0.164775,0.086131,45.30837756,0,181.21,33.12,33.12,1,118.89,4,13.2,0,0,0,1,0,0,0,4154,5981,5577,5616,0,0,0,0,0,1,0.168952917,0.0876325,0,44.26693046,0,0,1
7ab4bf4878d8f7661dfc20e9b8e18011,45097,0,0,0,8069.28,0,0,0,0.166178,0.087538,44.31137796,0,0,4.04,4.04,1,346.63,4,15,0,0,1,0,0,0,0,4147,5974,4147,5609,0,0,0,0,0,1,0.166060667,0.08474425,0,44.26692996,0,0,1
01495c955be7ec5e7f3203406785aae0,29552,0,1260,1260,864.73,751,0,144.49,0.115174,0.098837,40.606701,0,70.63,53.92,53.92,1,100.09,6,26.4,0,0,1,0,0,0,0,3557,5749,3557,5384,0,0,0,0,0,1,0.122815583,0.10250125,0.073536167,40.6745798,24.40474692,16.26983288,0
f53a254b1115634330c12c7fdbf7958a,2962,0,0,0,444.38,0,0,15.85,0.145711,0,44.31137796,0,0,12.82,12.82,1,42.59,4,13.2,0,0,0,1,0,0,0,4077,5904,4077,5540,0,1,0,0,0,0,0.149681583,0,0,44.31137536,0,0,0
10c1b2f97a2d2a6f10299dc213d1a370,26064,0,2188,2188,2738.1,2188,0,130.43,0.115761,0.099419,40.606701,0,219.59,33.42,33.42,1,329.6,6,31.5,1,0,0,0,0,0,0,3570,5762,5391,5397,0,0,0,0,0,1,0.123379167,0.102951917,0.073785667,40.728885,24.43733004,16.29155496,0
d5e512dbc8118a830a7b8c7f61d89992,10831,0,3112,3112,1204.58,3112,0,20.94,0.164637,0.087381,44.31137796,0,349.48,14.52,14.52,1,108.5,5,11.5,0,0,0,1,0,0,0,4003,5830,4003,5465,0,1,0,0,0,0,0.167540417,0.085745083,0,44.34100546,0,0,0
6ee77a019251bcc304c88167e0dfcb4c,4442,0,2489,2489,561.96,2489,0,20.5,0.167086,0.088444,46.30537836,0,308.41,21.09,21.09,1,18.41,6,10.392,0,0,1,0,0,0,0,3411,5968,3411,5603,0,1,0,0,0,0,0.169260667,0.087686667,0,44.53730216,0,0,0
2c05848e1a577dd041ea6804bbf5bbf5,46121,1542867,5280,5280,4502.43,5280,0,145.81,0.115237,0.100123,40.606701,0,523.68,5.52,5.52,2,533.46,4,16.5,0,0,1,0,0,0,0,4055,5941,4845,5577,0,0,0,0,0,1,0.121752636,0.101736273,0.071710364,40.59559173,24.35735233,16.23823503,0
21860c2ff2d5df75503b230ce629c253,7726,0,0,0,914.1,0,0,74.66,0.162327,0.084428,44.31137796,0,0,33.12,33.12,1,89.02,3,13.2,0,0,1,0,0,0,0,4564,6025,5594,5661,0,0,1,0,0,0,0.169177333,0.087639667,0,44.31137526,0,0,0
227254ed8be1393d5e37e6dc9c3f359b,55084,0,8709,8709,1765.35,3513,0,0,0.098925,0.09135,58.99595196,0,290.91,-2.08,-2.08,1,140.26,3,10,1,0,0,0,0,0,0,4482,5942,5533,5577,0,0,1,0,0,0,0.10526475,0.0939275,0.069050583,58.956502,36.35688676,8.33705108,0
c5037389dd8be351d3c40f2973da2391,9707,0,0,0,1028.52,0,0,15.37,0.168242,0.089602,45.30837756,0,0,15.78,15.78,1,111.59,5,13.856,0,1,0,0,0,0,0,3781,5973,3781,5608,0,1,0,0,0,0,0.166060667,0.08474425,0,44.26693026,0,0,0
e4773b60d2e68aac94795782abfc006b,47019,0,3161,3161,1687.29,1080,0,16.08,0.144902,0,44.31137796,0,158.53,19.28,19.28,1,130.14,4,10.392,1,0,0,0,0,0,0,4287,5748,4287,5383,0,0,1,0,0,0,0.1490445,0,0,44.38545036,0,0,0
bd14bbac3aca710ee5288fcd8511d4bb,786536,80583,85883,85883,13517.5,23298,0,16.6,0.164058,0.086163,44.31137796,0,2585.38,25.68,25.68,2,1087.76,6,11.4,0,1,0,0,0,0,0,3492,5683,3492,5319,0,0,0,0,0,1,0.168011333,0.086418917,0,44.26693026,0,0,0
f2b93783adecf0d0d8d60ab547bda3de,24838,0,2877,2877,1088.35,798,0,141.79,0.115174,0.098837,40.606701,0,79.36,21.57,21.57,1,117.44,5,15.001,0,1,0,0,0,0,0,3958,5785,3958,5423,0,0,1,0,0,0,0.122785583,0.102395833,0.073283333,40.6610035,24.39660114,16.26440236,0
47e976c5d7f1ee1fee6d60ca39fd0218,15411,0,0,0,194.42,0,0,18.31,0.145711,0,44.31137796,0,0,23.97,23.97,1,19.07,4,13,0,0,1,0,0,0,0,4325,5786,4325,5423,0,0,0,0,0,1,0.14991325,0,0,44.37063536,0,0,0
db6ac41fb6972374f28bc6f8e43b9764,16782,0,1908,1908,1686.67,1908,0,131.77,0.115237,0.100123,40.606701,0,189.79,6.6,6.6,2,203.35,6,19.8,0,0,1,0,0,0,0,3355,5912,3355,5548,0,1,0,0,0,0,0.123971083,0.103777917,0.073593167,40.5931235,24.35587114,16.23724736,0
bee0c7e972180fbee50c2ea15b12965c,26987,0,4099,4099,2761.95,4099,0,129.95,0.118636,0.10175,40.606701,0,413.68,47.35,47.35,1,316.53,5,35,0,0,1,0,0,0,0,3874,5701,3874,5340,0,0,0,0,0,1,0.126491583,0.105954417,0.0751825,40.6881561,24.4128927,16.2752634,0
78014630fbac3e6aa980361d25cea748,20560,0,3804,3804,3037.82,3804,0,0,0.142417,0,44.31137796,0,548.89,4.14,4.14,1,255.96,3,11,0,0,0,1,0,0,0,4542,6003,5577,5638,0,0,0,0,0,1,0.147665091,0,0,44.29925392,0,0,0
5789c446141a44a9b405db35682f6eb5,12157,0,0,0,1418.81,0,0,16.42,0.160302,0.082403,44.31137796,0,0,23.4,23.4,2,123.87,3,10.392,0,0,1,0,0,0,0,4600,5695,5622,5340,0,1,0,0,0,0,0.166422833,0.084636333,0,44.37063526,0,0,0
ed5bc499fecb8eee257857fd286ebd65,13122,0,0,0,1932.42,0,0,19.51,0.143478,0,44.31137796,0,0,3.56,3.56,1,150.7,6,13.2,0,1,0,0,0,0,0,3422,5979,5577,5614,0,1,0,0,0,0,0.147116167,0,0,44.29656036,0,0,0
389bbbe70248fbeecdf9bb1bd0d1da04,3584,0,322,322,379.83,322,0,145.98,0.115237,0.100123,41.1052014,0,32.61,57.72,57.72,1,38.76,5,23.1,0,0,1,0,0,0,0,3767,5959,3767,5594,0,0,0,0,0,1,0.124068333,0.103734417,0.073528833,40.6212142,24.38939184,16.27348306,1
31615bef53242dfedeaf275214044ca1,2632,0,0,0,394.83,0,0,15.98,0.145711,0,44.31137796,0,0,14.64,14.64,1,38.62,6,10.392,0,1,0,0,0,0,0,3639,5831,3639,5467,0,0,1,0,0,0,0.149797417,0,0,44.34100536,0,0,0
74ff037708f036de5745ce34d8d9d4df,4792,0,0,0,719.4,0,0,0,0.144039,0,45.80687796,0,0,19.42,19.42,1,60,4,12.5,0,0,1,0,0,0,0,4157,5984,5577,5620,0,0,0,0,0,1,0.150009333,0,0,44.26693036,0,0,0
7287dad2f1f535d03435ea7c78b557c4,7950,0,1100,1100,856.81,1100,0,132.16,0.115237,0.100123,40.9390266,0,113.82,20,20,1,94.01,6,15.01,0,1,0,0,0,0,0,3355,5912,3355,5547,0,1,0,0,0,0,0.123971083,0.103777917,0.073593167,40.6486791,24.41142674,16.29280296,0
26c7bba7d51f86a16109de505bcd4f52,1856956,41883,164355,164355,3074.16,0,0,99.05,0.115237,0.100123,40.606701,0,0,43.44,43.44,2,487.42,5,29,1,0,0,0,0,0,0,3709,5901,3709,5538,0,0,1,0,0,0,0.1041675,0.086857917,0.06129,33.8185517,20.29112902,13.52741968,0
